Entity,Code,Year,GDP (constant 2015 US$)
Germany,DEU,2002,2925076200000
Germany,DEU,2003,2909575300000
Germany,DEU,2004,2943395300000
Germany,DEU,2005,2969464700000
Germany,DEU,2006,3083959500000
Germany,DEU,2007,3173089300000
Germany,DEU,2008,3201977000000
Germany,DEU,2009,3024422200000
Germany,DEU,2010,3149838000000
Germany,DEU,2011,3268208000000
Germany,DEU,2012,3283708800000
Germany,DEU,2013,3296391300000
Germany,DEU,2014,3367906300000
Germany,DEU,2015,3423568400000
Germany,DEU,2016,3502129500000
Germany,DEU,2017,3597248200000
Germany,DEU,2018,3637409500000
Germany,DEU,2019,3673343100000
Germany,DEU,2020,3522914700000
Germany,DEU,2021,3652205700000
Germany,DEU,2022,3702231000000
Germany,DEU,2023,3692367000000
India,IND,2002,871073100000
India,IND,2003,939542800000
India,IND,2004,1013982170000
India,IND,2005,1094324300000
India,IND,2006,1182534900000
India,IND,2007,1273126700000
India,IND,2008,1312424300000
India,IND,2009,1415605600000
India,IND,2010,1535897900000
India,IND,2011,1616399200000
India,IND,2012,1704596200000
India,IND,2013,1813453500000
India,IND,2014,1947834500000
India,IND,2015,2103588400000
India,IND,2016,2277267000000
India,IND,2017,2432016000000
India,IND,2018,2588974800000
India,IND,2019,2689205300000
India,IND,2020,2533830400000
India,IND,2021,2779348200000
India,IND,2022,2973542400000
India,IND,2023,3215973400000
World,OWID_WRL,2002,50567137000000
World,OWID_WRL,2003,52131516000000
World,OWID_WRL,2004,54463870000000
World,OWID_WRL,2005,56653580000000
World,OWID_WRL,2006,59180665000000
World,OWID_WRL,2007,61768750000000
World,OWID_WRL,2008,63038810000000
World,OWID_WRL,2009,62192600000000
World,OWID_WRL,2010,65002107000000
World,OWID_WRL,2011,67170764000000
World,OWID_WRL,2012,68978974000000
World,OWID_WRL,2013,70960630000000
World,OWID_WRL,2014,73182745000000
World,OWID_WRL,2015,75472470000000
World,OWID_WRL,2016,77596070000000
World,OWID_WRL,2017,80274256000000
World,OWID_WRL,2018,82909020000000
World,OWID_WRL,2019,85127640000000
World,OWID_WRL,2020,82677380000000
World,OWID_WRL,2021,87927480000000
World,OWID_WRL,2022,90774590000000
World,OWID_WRL,2023,93346685000000